id,place,place_modified,tgn,coords
https://www.harvardartmuseums.org/collections/object/298819,"Hôtel de Ville, Aix-la-Chapelle",Aachen,tgn/7004799,
https://collections.ashmolean.org/collection/159411,"A Window of the Palazzo Tolomei, Siena, showing the rude and unsymmetrical Placing of massy Stones",Siena,tgn/7003168,
https://collections.ashmolean.org/collection/159368,Three Studies of Narcissus ('Field Narcissus of the Alps'),Alps,tgn/7007746,
https://collections.ashmolean.org/collection/176329,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://www.nga.gov/collection/76140,"Ornamental Study with Acanthus Motif for ""The Stones of Venice""",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159606,"The Exterior of the Ducal Palace, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159597,Study for General Chiaroscuro of the Sarcophagus and Canopy of the Tomb of Mastino II della Scala at Verona,Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159714,"Study of one of the Pinnacles of the Tomb of Mastino II della Scala, Verona",Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/262489,Lake of Zug,Zug,tgn/7074719,
https://www.harvardartmuseums.org/collections/object/298815,"Boat and Sketches of Two Figures, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/141095,Swiss tower at Fribourg,Fribourg,tgn/7645603,
https://collections.ashmolean.org/collection/159671,The Sculpture of a Dragon filling a Quatrefoil on the North Entrance of Rouen Cathedral,Arrondissement de Rouen,tgn/7610552,
https://collections.ashmolean.org/collection/176325,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159427,"Fribourg, Switzerland: Pen sketch",Fribourg,tgn/7645603,
https://collections.ashmolean.org/collection/176332,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159471,"Sketch of 'Modes au Premier', Abbeville",Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/159430,View of Luzern from above,Luzern,tgn/7007280,
https://collections.ashmolean.org/collection/176324,"Design for a Window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159365,"Stone Pines at Sestri, Gulf of Genoa",Sestri Levante,tgn/7005335,
https://www.harvardartmuseums.org/collections/object/298814,Studies of Venetian Capitals,Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/141094,Mountain study: view of the Alps (Aiguilles near Chamonix),Chamonix-Mont-Blanc,tgn/1032562,
https://www.harvardartmuseums.org/collections/object/297450,Town of Schaffhausen: Castle and Turrets,Schaffhausen,tgn/7106737,
https://collections.ashmolean.org/collection/159715,"Study of a Capital of one of the Upper Pinnacles of the Tomb of Cansignorio della Scala, Verona",Verona,tgn/7003262,
